Region,Poblacion 0-14,Poblacion 15-64,Poblacion 65+
Asia,5318.5999999999985,10668.699999999999,1013.0000000000001
Europa,3780.200000000001,13830.599999999999,2890.500000000002
Las Americas,5375.500000000002,10901.799999999996,1223.1
Oceania,1784.8,3133.1000000000004,282.50000000000006
Oriente Medio,1754.7000000000003,3251.1000000000004,194.20000000000005
africa,11136.2,14452.699999999992,911.7000000000003
